新聞,#genre#
博斯無限台,http://4gtv.mumi.rip:9877/51/litv-longturn10/index.m3u8
博斯網球台,http://4gtv.mumi.rip:9877/52/litv-longturn09/index.m3u8
博斯魅力台,http://4gtv.mumi.rip:9877/300/litv-longturn04/index.m3u8
博斯高球二台,http://4gtv.mumi.rip:9877/298/litv-longturn06/index.m3u8
博斯運動一台,http://4gtv.mumi.rip:9877/50/litv-longturn07/index.m3u8
博斯運動二台,http://4gtv.mumi.rip:9877/299/litv-longturn08/index.m3u8
時尚運動X,http://4gtv.mumi.rip:9877/69/4gtv-4gtv014/index.m3u8
車迷TV,http://4gtv.mumi.rip:9877/160/4gtv-live201/index.m3u8
TRACE Sport Stars,http://4gtv.mumi.rip:9877/57/4gtv-4gtv077/index.m3u8
緯來體育台,http://125.227.210.55:8155/VideoInput/play.ts
緯來體育台,rtmp://f13h.mine.nu/sat/tv721
CCTV5,https://z02.ubtvfans.com/live/rx1/204/7eb3bfaf347e514a453b161277aa01f3/index.m3u8
博斯網球台,https://stream1.freetv.fun/66a2eabd8284dee1a5e23fb1d794046759e00009630d310edfb86c847c51273e.m3u8
博斯高球台,https://stream1.freetv.fun/7a4b03a14d74273650a665f075e44861c63f4a51281c47bf53142adff89334ca.m3u8
博斯魅力台,https://stream1.freetv.fun/53e1bcead4c2301a13c3da0e5b9874d51ca01b18ac1f2b6015bc5bf1b12fd1c8.m3u8

探索,#genre#
Love Nrture,https://d18dyiwu97wm6q.cloudfront.net/playlist720p.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
探索亞洲,http://125.227.210.55:8154/VideoInput/play.ts
Global Trekker探索世界,http://4gtv.mumi.rip:9877/252/4gtv-live112/index.m3u8
Smart知識台,http://4gtv.mumi.rip:9877/297/litv-longturn19/index.m3u8
達文西頻道,http://4gtv.mumi.rip:9877/11/4gtv-4gtv018/index.m3u8
Love Nature,http://4gtv.mumi.rip:9877/139/4gtv-live208/index.m3u8
LUXE TV 奢華頻道,http://4gtv.mumi.rip:9877/175/4gtv-live121/index.m3u8
Globetrotter 環遊旅行家,http://4gtv.mumi.rip:9877/288/4gtv-4gtv016/index.m3u8
History 歷史頻道,http://4gtv.mumi.rip:9877/214/4gtv-live026/index.m3u8
TechStorm科技趨勢,http://4gtv.mumi.rip:9877/181/4gtv-live109/index.m3u8

幼幼、卡通,#genre#
我們這一家,https://www.youtube.com/watch?v=UK81GCw1KE8
蠟筆小新,https://www.youtube.com/watch?v=_jP5o1W3eW0
CN卡通,http://125.227.210.55:8167/VideoInput/play.ts
CN卡通,https://stream1.freetv.fun/dc12110f04c56c92bb85c7d092ae8f56bd4191d8bcb0d205575d3135985a0b41.ctv
中華一番,https://www.youtube.com/watch?v=2FJcu6qsM2k
YOYO TV,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV63.m3u8
i-Fun動漫台,http://4gtv.mumi.rip:9877/60/litv-ftv15/index.m3u8
經典卡通台,http://4gtv.mumi.rip:9877/202/4gtv-live022/index.m3u8
靖天卡通台,http://4gtv.mumi.rip:9877/15/4gtv-4gtv044/index.m3u8
龍華卡通台,http://4gtv.mumi.rip:9877/295/litv-longturn01/index.m3u8
Nick Jr. 兒童頻道,http://4gtv.mumi.rip:9877/219/4gtv-live032/index.m3u8
靖洋卡通Nice Bingo,http://4gtv.mumi.rip:9877/59/4gtv-4gtv057/index.m3u8
精選動漫台,http://4gtv.mumi.rip:9877/204/4gtv-live024/index.m3u8
超人力霸王整套看,http://4gtv.mumi.rip:9877/278/4gtv-live015/index.m3u8
DreamWorks 夢工廠動畫,http://4gtv.mumi.rip:9877/282/4gtv-live017/index.m3u8
尼克兒童頻道,http://4gtv.mumi.rip:9877/185/4gtv-live105/index.m3u8
兒童卡通台,http://4gtv.mumi.rip:9877/269/4gtv-live009/index.m3u8

戲劇,#genre#
TVBS台劇台,http://4gtv.mumi.rip:9877/285/4gtv-live088/index.m3u8
公視戲劇,http://4gtv.mumi.rip:9877/7/4gtv-4gtv042/index.m3u8
龍華偶像台,http://4gtv.mumi.rip:9877/296/litv-longturn12/index.m3u8
民視影劇台,http://4gtv.mumi.rip:9877/24/litv-ftv09/index.m3u8
龍華戲劇台,http://4gtv.mumi.rip:9877/23/litv-longturn18/index.m3u8
龍華日韓台,http://4gtv.mumi.rip:9877/28/litv-longturn11/index.m3u8
金光布袋戲,http://4gtv.mumi.rip:9877/236/4gtv-live144/index.m3u8
霹靂布袋戲,http://4gtv.mumi.rip:9877/301/4gtv-live145/index.m3u8
靖天戲劇台,http://4gtv.mumi.rip:9877/116/4gtv-4gtv058/index.m3u8
靖洋戲劇台,http://4gtv.mumi.rip:9877/118/4gtv-4gtv045/index.m3u8
戲劇免費看 1台,http://4gtv.mumi.rip:9877/270/4gtv-live010/index.m3u8
戲劇免費看 2台,http://4gtv.mumi.rip:9877/244/4gtv-live006/index.m3u8
花系列 經典劇場,http://4gtv.mumi.rip:9877/279/4gtv-live016/index.m3u8
三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
三立戲劇,https://stream1.freetv.fun/38b16d6f182cd55b7a542696a148d850cf352ea7c01b6a76d452002644e34fbb.m3u8
八大戲劇,http://61.221.215.25:8800/hls/39/index.m3u8
緯來戲劇,https://z02.ubtvfans.com/live/rx3/339/85339de3283d33f46d4735db2f4cac1a/index.m3u8
八大戲劇,https://stream1.freetv.fun/d29f5b90988c837bb8afc96017dd772aa68cb99981f807169cafc79cdf7ac12f.m3u8
東森戲劇,https://stream1.freetv.fun/63afc04b6f48d6ab1be98e6ac787f6a5ae5341600353f7f32af5bd39bd544b07.ctv

MTV,#genre#
日本 MTV,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs18
日本 Music Japan TV,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs06
日本 Space Shower TV,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs26
The K-POP,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV16.m3u8
MTV Live HD 音樂頻道,http://4gtv.mumi.rip:9877/213/4gtv-live025/index.m3u8
電影原聲台CMusic,http://4gtv.mumi.rip:9877/218/4gtv-live031/index.m3u8
TRACE Urban音樂,http://4gtv.mumi.rip:9877/78/4gtv-4gtv082/index.m3u8
fun探索娛樂台,http://4gtv.mumi.rip:9877/274/4gtv-live011/index.m3u8
Mezzo 音樂Live HD,http://4gtv.mumi.rip:9877/79/4gtv-4gtv083/index.m3u8
ROCK Entertainment,http://4gtv.mumi.rip:9877/275/4gtv-live080/index.m3u8
CLASSICA 古典樂,http://4gtv.mumi.rip:9877/80/4gtv-4gtv059/index.m3u8


時尚,#genre#
全球時尚 Global Fashion Channel,https://pubgfc.teleosmedia.com/linear/globalfashionchannel/globalfashionchannel/playlist.m3u8
法國時尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
Fashion TV HD,https://fashiontv-fashiontv-1-eu.rakuten.wurl.tv/playlist.m3u8

VPN,#genre#
TVBS 56,https://www.youtube.com/watch?v=o_-hSMgpAzs新聞,#genre#
